Category,Role / ID,Count,Status,Notes
Biome,Ruined Metro — floor_detail,1,REQUIRED,
Biome,Ruined Metro — wall,1,REQUIRED,
Biome,Ruined Metro — obstacle,1,REQUIRED,
Biome,Ruined Metro — hazard,1,REQUIRED,
Biome,Ruined Metro — props,1,REQUIRED,
Biome,Ruined Metro — doors,1,REQUIRED,
Biome,Ruined Metro — rail_infrastructure,1,REQUIRED,
Biome,Ruined Metro — decals,1,REQUIRED,
Biome,Ruined Metro — foreground,1,REQUIRED,
Biome,Ruined Metro — environment_vfx,1,REQUIRED,
Biome,Ruined Metro — lighting,1,REQUIRED,
Biome,Rustworks — floor,1,REQUIRED,
Biome,Rustworks — floor_detail,1,REQUIRED,
Biome,Rustworks — wall,1,REQUIRED,
Biome,Rustworks — obstacle,1,REQUIRED,
Biome,Rustworks — hazard,1,REQUIRED,
Biome,Rustworks — props,1,REQUIRED,
Biome,Rustworks — doors,1,REQUIRED,
Biome,Rustworks — rail_infrastructure,1,REQUIRED,
Biome,Rustworks — decals,1,REQUIRED,
Biome,Rustworks — foreground,1,REQUIRED,
Biome,Rustworks — environment_vfx,1,REQUIRED,
Biome,Rustworks — lighting,1,REQUIRED,
Biome,Overgrown Labs — floor,1,REQUIRED,
Biome,Overgrown Labs — floor_detail,1,REQUIRED,
Biome,Overgrown Labs — wall,1,REQUIRED,
Biome,Overgrown Labs — obstacle,1,REQUIRED,
Biome,Overgrown Labs — hazard,1,REQUIRED,
Biome,Overgrown Labs — props,1,REQUIRED,
Biome,Overgrown Labs — doors,1,REQUIRED,
Biome,Overgrown Labs — rail_infrastructure,1,REQUIRED,
Biome,Overgrown Labs — decals,1,REQUIRED,
Biome,Overgrown Labs — foreground,1,REQUIRED,
Biome,Overgrown Labs — environment_vfx,1,REQUIRED,
Biome,Overgrown Labs — lighting,1,REQUIRED,
World/Base object,Supply Chest,1,REQUIRED,
World/Base object,Item Pickup,1,REQUIRED,
World/Base object,Coin Pickup,1,REQUIRED,
World/Base object,Dungeon Merchant,1,REQUIRED,
World/Base object,Medical Station,1,REQUIRED,
World/Base object,Transit Car,1,REQUIRED,
World/Base object,Doors,1,REQUIRED,
World/Base object,Locked Vault,1,REQUIRED,
World/Base object,Cursed Chest,1,REQUIRED,
World/Base object,Broken Machine,1,REQUIRED,
World/Base object,Supply Signal,1,REQUIRED,
World/Base object,Weapon Cache,1,REQUIRED,
World/Base object,Storage Station,1,REQUIRED,
World/Base object,Loadout Station,1,REQUIRED,
World/Base object,Trader Station,1,REQUIRED,
World/Base object,Character Station,1,REQUIRED,
World/Base object,Workshop Station,1,REQUIRED,
World/Base object,Multiplayer Terminal,1,REQUIRED,
World/Base object,Expedition Transit,1,REQUIRED,
VFX,Muzzle flash,1,REQUIRED,
VFX,Impact,1,REQUIRED,
VFX,Explosion,1,REQUIRED,
VFX,Melee arc,1,REQUIRED,
VFX,Stagger,1,REQUIRED,
VFX,Heal,1,REQUIRED,
VFX,Status,1,REQUIRED,
VFX,Loot glow,1,REQUIRED,
VFX,Telegraph zone,1,REQUIRED,
VFX,Telegraph dash,1,REQUIRED,
VFX,Telegraph projectile/aim,1,REQUIRED,
VFX,Slam marker,1,REQUIRED,
VFX,Elite/Boss phase,1,REQUIRED,
UI,Panels,1,REQUIRED,
UI,Buttons,1,REQUIRED,
UI,Focus states,1,REQUIRED,
UI,Rarity frames,1,REQUIRED,
UI,HP bar,1,REQUIRED,
UI,XP bar,1,REQUIRED,
UI,Inventory slots,1,REQUIRED,
UI,Ammo icons,1,REQUIRED,
UI,Consumable icons,1,REQUIRED,
UI,Coin icon,1,REQUIRED,
UI,Keyboard/mouse glyphs,1,REQUIRED,
UI,Controller glyphs,1,REQUIRED,
UI,Main menu presentation,1,REQUIRED,
UI,Loading/transition/error skin,1,REQUIRED,
UI,Pixel font,1,REQUIRED,
UI,HUD skin,1,REQUIRED,
