key,value,source
blaster.heat.weapon_pulse_carbine_b1,heat/shot 7 cooling/s 35 max 100 delay 0.5 lockout 1.9,BlasterWeaponDefinition heat fields
blaster.heat.weapon_redline,heat/shot 8 cooling/s 40 max 100 delay 0.5 lockout 1.9,BlasterWeaponDefinition heat fields
boss.hp.boss_aegis_core,1050,BossDefinition.BaseHealth
boss.hp.boss_scrap_king,1000,BossDefinition.BaseHealth
boss.hp.boss_subject_omega,1250,BossDefinition.BaseHealth
boss.hp.boss_the_conductor,1050,BossDefinition.BaseHealth
boss.hp.boss_the_foundry_titan,1350,BossDefinition.BaseHealth
boss.hp.boss_tunnel_maw,1150,BossDefinition.BaseHealth
elite.hp.elite_crusher_unit,475,EliteDefinition.BaseHealth
elite.hp.elite_mutated_brute,525,EliteDefinition.BaseHealth
elite.hp.elite_prototype_x7,375,EliteDefinition.BaseHealth
elite.hp.elite_railguard,450,EliteDefinition.BaseHealth
elite.hp.elite_scrap_executioner,500,EliteDefinition.BaseHealth
elite.hp.elite_tunnel_stalker,350,EliteDefinition.BaseHealth
enemy.hp.bomber,40,EnemyDefinition.BaseHealth
enemy.hp.brute,90,EnemyDefinition.BaseHealth
enemy.hp.charger,45,EnemyDefinition.BaseHealth
enemy.hp.grunt,30,EnemyDefinition.BaseHealth
enemy.hp.shield_enemy,55,EnemyDefinition.BaseHealth
enemy.hp.shooter,24,EnemyDefinition.BaseHealth
enemy.hp.sniper_enemy,30,EnemyDefinition.BaseHealth
enemy.hp.summoner,65,EnemyDefinition.BaseHealth
enemy.hp.swarm,10,EnemyDefinition.BaseHealth
depth.scaling.D1,hp x1 dmg x1,DepthScaling.HealthMultiplier/DamageMultiplier
depth.scaling.D5,hp x1.32 dmg x1.15,DepthScaling.HealthMultiplier/DamageMultiplier
depth.scaling.D10,hp x1.7 dmg x1.3,DepthScaling.HealthMultiplier/DamageMultiplier
depth.scaling.D20,hp x2.35 dmg x1.55,DepthScaling.HealthMultiplier/DamageMultiplier
depth.scaling.D30,hp x2.9 dmg x1.75,DepthScaling.HealthMultiplier/DamageMultiplier
depth.scaling.D31,hp x2.945 dmg x1.765,DepthScaling.HealthMultiplier/DamageMultiplier
depth.scaling.D50,hp x3.8 dmg x2.05,DepthScaling.HealthMultiplier/DamageMultiplier
depth.scaling.D100,hp x5.5 dmg x2.6,DepthScaling.HealthMultiplier/DamageMultiplier
reward.D1,coin x1 xp x1,EconomyConfig reward multipliers (D100000 = the cap)
reward.D30,coin x1 xp x1,EconomyConfig reward multipliers (D100000 = the cap)
reward.D31,coin x1.07 xp x1.07,EconomyConfig reward multipliers (D100000 = the cap)
reward.D40,coin x1.2214 xp x1.2214,EconomyConfig reward multipliers (D100000 = the cap)
reward.D100,coin x1.5857 xp x1.5857,EconomyConfig reward multipliers (D100000 = the cap)
reward.D100000,coin x1.75 xp x1.75,EconomyConfig reward multipliers (D100000 = the cap)
elite.frequency,D1:8%x1 D3:18%x1 D5:18%x1 D6:25%x1 D10:25%x1 D11:25%x2 D20:25%x2 D21:25%x2 D30:25%x2 D50:25%x2,DungeonGraphRules.CreateDefault() (the runtime rules)
rooms.depth_gated,"9 (D5:3, D10:3, D20:3)",RoomDefinition.MinDepth
biome.weights,OvergrownLabs:bomber=15 OvergrownLabs:shield_enemy=5 OvergrownLabs:summoner=20 OvergrownLabs:swarm=20 RuinedMetro:brute=15 RuinedMetro:charger=20 RuinedMetro:sniper_enemy=5 RuinedMetro:swarm=20 Rustworks:bomber=15 Rustworks:brute=20 Rustworks:shield_enemy=20 Rustworks:swarm=5 default=10,BiomeEncounterWeights.Authored
progression.max_level,61,LevelCurve.MaxLevel
progression.attribute_cap,10,SkillRules.MaxRank
inventory.backpack_size,8,PlayerInventory.BackpackCapacity
party.max_players,3/3,ExpeditionParty / SessionRequest MaxPartySize
coop.scaling,p1: threat x1 hp x1 boss x1 dmg x1 cap 10 p2: threat x1.4 hp x1.2 boss x1.65 dmg x1 cap 14 p3: threat x1.75 hp x1.35 boss x2.2 dmg x1 cap 18,PartyScaling
pickup.attraction,base 1.25 max 2,PickupAttractor constants
pickup.magnetic_coil_bonus,3,Magnetic Coil flat PickupAttractionRadius
aim_assist,"mouse 18 controller 24 proximity 28px ppu 32 classes Pistol:1,Smg:1,AssaultRifle:1,BattleRifle:1,Shotgun:1,Sniper:0.75,Bow:1,RocketLauncher:0.65,Blaster:1,Knife:0,Spear:0",AimAssistConfig
count.audio_events,53,AudioEventCatalog
count.rooms,63,catalog rooms
count.items,72,catalog items
count.weapons,33,catalog weapons
count.enemies_elites_bosses,9/6/6,catalog enemies/elites/bosses
save.version,2,SaveSlot.CurrentVersion
